Description, Bookmark, "Catalog Number", Price, Currency, Quantity
"Red 10mm LED 270mcd Round Diffused", "https://www.jaycar.com.au/red-10mm-led-270mcd-round-diffused/p/ZD0203", ZD0203, $0.75, AUD, 8
"MCP23008 8-Bit Expander with Serial Interface DIP18", "https://www.jaycar.com.au/mcp23008-8-bit-expander-with-serial-interface-dip18/p/ZK8869", ZK8869, $4.95, AUD, 1
"18 Pin Production (Low Cost) IC Socket", "https://www.jaycar.com.au/18-pin-production-low-cost-ic-socket/p/PI6503", PI6503, $0.50, AUD, 1
"150 Ohm 0.5 Watt Metal Film Resistors - Pack of 8", "https://www.jaycar.com.au/150-ohm-0-5-watt-metal-film-resistors-pack-of-8/p/RR0552", RR0552, $0.85, AUD, 1
"43 Ohm 0.5 Watt Metal Film Resistors - Pack of 8", "https://www.jaycar.com.au/43-ohm-0-5-watt-metal-film-resistors-pack-of-8/p/RR0539", RR0539, $0.85, AUD, 1
"White 5200mcd Superflux LED", "https://www.jaycar.com.au/white-5200mcd-superflux-led/p/ZD0020", ZD0020, $1.95, AUD, 1
"MOSFET N-CH 60V 32A TO220-3", "https://www.digikey.com.au/en/products/detail/on-semiconductor/FQP30N06L/1055122", FQP30N06L-ND, $2.95, AUD, 2
"GROVE 4PIN CABLES 5PACK 50CM", "https://www.digikey.com.au/en/products/detail/seeed-technology-co-ltd/110990038/5482566", 1597-1088-ND, $6.44, AUD, 1
"GROVE 2MM 4PIN VERT CONN 10PCS", "https://www.digikey.com.au/en/products/detail/seeed-technology-co-ltd/110990030/5482560", 1597-1082-ND, $2.55, AUD, 1
"GROVE 4PIN MALE JUMPERS 5PACK", "https://www.digikey.com.au/en/products/detail/seeed-technology-co-ltd/110990210/5482570", 1597-1092-ND, $4.79, AUD, 1
"ESP32 PSRAM Timer Camera X (OV3660)", "https://shop.m5stack.com/products/esp32-psram-timer-camera-x-ov3660", "SKU: U082-X", $17.95, US, 1

